,name,day,time,statement,topics
58,Alpha Omega Alpha Honor Medical Society,3,700,"The purpose of AOA is to honor excellence in medicine by recognizing those ""worthy to serve the suffering"".","{'Academic/College', 'Columbus', 'Honoraries/Honor Societies'}"
59,Alpha Omega Dental Fraternity Psi Chapter,1,1645,To build a community of likeminded dental professionals and students who are committed to help each other thrive professionally and socially...,"{'Ethnic/Cultural', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Religious/Spiritual'}"
60,Alpha Omicron Pi,1,1830,"""Alpha Omicron Pi is an international women's fraternity promoting friendship for a lifetime, inspiring academic excellence and lifelong lea...","{'Social Fraternities/Sororities', 'Columbus'}"
61,"Alpha Phi Alpha Fraternity Inc., Kappa Chapter",0,1400,"Alpha Phi Alpha Fraternity Inc., develops leaders, promotes brotherhood and academic excellence while providing service and advocacy for our...","{'Social Fraternities/Sororities', 'Ethnic/Cultural', 'Columbus', 'Community Service/Service Learning'}"
62,Alpha Phi Omega,1,1930,"Alpha Phi Omega at Ohio State is a National Co-ed Fraternity devoted to leadership, friendship, and service.
It is the VISION of Alpha Phi O...","{'Social Fraternities/Sororities', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
63,Alpha Phi Sorority,1,1800,"The purpose of this chapter is the promotion of growth in character, of unity of feeling, of sisterly affection and of social communion amon...","{'Social Fraternities/Sororities', 'Columbus', 'Community Service/Service Learning'}"
64,Alpha Pi Mu,3,700,"History - 
Alpha Pi Mu was the brainchild of James T. French, who in 1949 was a senior industrial Engineering student at Georgia Institute o...","{'Columbus', 'Honoraries/Honor Societies'}"
65,Alpha Psi Lambda,1,1900,Alpha Psi Lambda is OSU's first and only Co-Ed Latinx Fraternity. We were founded here in 1985 and have grown to become a National Organizat...,"{'Ethnic/Cultural', 'Social Fraternities/Sororities', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
66,"Alpha Psi Omega, Alpha Epsilon Lambda Chapter",3,700,Alpha Psi Omega is a national theatre honor society; the Ohio State chapter seeks to provide students with diverse opportunities related to ...,"{'Special Interest', 'Columbus', 'Creative and Performing Arts', 'Honoraries/Honor Societies'}"
67,Alpha Rho Chi Demetrios Chapter,2,1900,"The objectives of this chapter are to organize and unite, for educational and professional development purposes, the students of architectur...","{'Creative and Performing Arts', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College'}"
68,Alpha Sigma Phi Fraternity,0,1900,"The purpose of the national fraternity is: ""To Better the Man, through the creation and perpetuation of brotherhood founded upon the values ...","{'Social Fraternities/Sororities', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
69,Alpha Sigma Upsilon,1,1930,"This sorority was created not only as a social organization, but also as a means to recognize individuals worthy of honor, with interests in...","{'Social Fraternities/Sororities', 'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College'}"
70,Alpha Tau Omega,1,1930,"To bind men together in a brotherhood based upon eternal and immutable principles, with a bond as strong as right itself and as lasting as h...","{'Social Fraternities/Sororities', 'Sports and Recreation', 'Community Service/Service Learning', 'Columbus', 'Academic/College'}"
71,Alpha Xi Delta Sorority,1,1800,"Alpha Xi Delta's vision is ""Inspiring women to realize their potential.""  Therefore, we dedicate ourselves to helping our members maximize t...","{'Social Fraternities/Sororities', 'Columbus', 'Community Service/Service Learning'}"
72,Alpha Zeta Partners,2,1900,The purpose of the fraternity of Alpha Zeta is to bind together a group of men and women interested in the continued advancement of agricult...,"{'Academic/College', 'Columbus', 'Honoraries/Honor Societies', 'Community Service/Service Learning'}"
73,Alumni Advancement Ambassadors,3,700,"We offer this programs to College of Arts and Sciences students. Our goal is to provide students with professional development, while also g...","{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
74,Amateur Radio and RF Club at The Ohio State University (W8LT),3,700,"To encourage the amateur radio hobby and hands on Radio Frequency (RF) projects among students, to promote the use of good engineering pract...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
75,The Amateur Radio Organization for Undergraduate Student Entertainment,1,1930,"To retain freedom of expression as a necessary function of quality entertainment, and maintain a respectful metadiscourse within an increasi...","{'Creative and Performing Arts', 'Journalism', 'Columbus', 'Media', 'and Creative Writing'}"
76,American Association of Public Health Dentistry - The Ohio State Student,3,700,The purpose of this organization is to increase oral health awareness and educate underserved communities. We hope to do this by increasing ...,"{'Academic/College', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
77,American Association of University Women at The Ohio State University,3,700,"To advance equity for women and girls through advocacy, education, and philanthropy, and to provide a supportive space at the Ohio State Uni...","{'Community Service/Service Learning', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
78,The American Cancer Society Buckeye Chapter,3,700,Our goal as ACS at The Ohio State Unviersity is to lead the fight for a world free from the the pain and suffering from cancer. With partner...,"{'Community Service/Service Learning', 'Columbus', 'Awareness/Activism'}"
79,The American Chemical Society Buckeye Chapter,2,1830,The purpose of the American Chemical Society Buckeye Chapter is to help students foster their interest in science by providing exposure to c...,"{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
80,American Choral Directors Association at Ohio State,3,700,"Educate members and future choral music educators on topics and resources related to the field of choral music education, and connect them w...","{'Academic/College', 'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
81,American Civil Liberties Union: Moritz Chapter at The Ohio State University,3,700,"The purpose of ACLU at Moritz is to raise awareness  of, and foster discussion related to, our civil liberties, civil rights, and legal deve...","{'Special Interest', 'Columbus', 'Awareness/Activism'}"
82,American Constitution Society,3,700,"ACS is committed to fostering a progressive vision of the law on issues across the policy spectrum, including access to the courts; nondiscr...","{'Academic/College', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
83,The American Enterprise Institute at The Ohio State University,1,1800,"The AEI OSU Chapter is an academic campus organization stemming from the DC think tank, the American Enterprise Institute, which aims to “de...","{'Governance Organizations', 'Special Interest', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
84,The American Foundry Society Buckeye Student Chapter,3,700,"To provide and promote knowledge and experience in the metalcasting industry and to cultivate relationships between industry leaders, facult...","{'Special Interest', 'Columbus', 'Technology'}"
85,American Institute of Aeronautics and Astronautics,4,1401,The objective of the American Institute of Aeronautics and Astronautics at The Ohio State University ( AIAA – OSU ) is to promote education ...,"{'Technology', 'Special Interest', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
86,American Institute of Architecture Students,3,700,"AIAS is a student-networking group, which focuses on service and advancement within the local and architectural community.","{'Academic/College', 'Special Interest', 'Columbus'}"
87,American Institute of Chemical Engineers,3,700,Our mission is to serve the William G. Lowrie Department of Chemical and Biomolecular Engineering by engaging students with professional dev...,"{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
88,American Marketing Association at Ohio State,3,1930,We are the only marketing student organization on OSU’s campus devoted to inspiring members to find their passion in marketing! We are dedic...,"{'Academic/College', 'Special Interest', 'Columbus'}"
89,American Medical Association/Ohio State Medical Association - Medical Student Section at The Ohio State University,3,700,"The AMA/OSMA-MSS at OSU is dedicated to representing medical students, improving medical education, developing leadership, and promoting act...","{'Academic/College', 'Columbus', 'Awareness/Activism'}"
90,American Medical Student Association,3,700,"The American Medical Student Association is the largest, independent medical student organization in the country. We lead initiatives both l...","{'Community Service/Service Learning', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
91,American Medical Women's Association,3,700,"To bring together those in medicine and health-related fields to advocate for women's health and wellness initiatives, and to support member...","{'Community Service/Service Learning', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
92,American Nuclear Society Student Section,3,3100,"The ANS Student Section aims to promote professional and social activities among the students in the Nuclear Engineering program, to coopera...","{'Academic/College', 'Columbus', 'Awareness/Activism'}"
93,American Optometric Student Association,3,2200,The purpose of AOSA is to enhance awareness among students of current issues in optometry as well as to promote community service in the for...,"{'Community Service/Service Learning', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
94,American Pharmacists Association Academy of Student Pharmacists,4,2330,"We the members of the Academy of Students of Pharmacy hereby associate ourselves to:
A.	Uphold the aims and aid in furthering the objectives...","{'Academic/College', 'Columbus', 'Governance Organizations', 'Community Service/Service Learning'}"
95,American Physical Society Chapter,3,700,This APS chapter seeks to support the development of graduate students and early-career individuals as colleagues and future leaders. To ach...,"{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
96,American Physician Scientist Association - Ohio State University Chapter,3,700,"OSU's local APSA chapter will seek to support and promote aspiring physician-scientists across all levels of training, from undergraduate to...","{'Community Service/Service Learning', 'Academic/College', 'Columbus', 'Awareness/Activism'}"
